Container IP  Host Port                     Container Port                 Service 
188.0.0.2    8010                           80/443                         gurosh-frontend-nginx
188.0.0.3    --                             --                             gurosh-frontend-npm
188.0.0.4    8089                           80                             exchange-nginx
188.0.0.5    --                             9000                           exchange-php-fpm
188.0.0.6    --                             --                             exchange_bower-builder_1
188.0.0.7    27018                          27017                          exchange-mongo
188.0.0.8    --                             --                             gurosh-merchant-bot-node
188.0.0.9    --                             --                             gurosh-cards-bot-node
188.0.0.10   8180                           80                             crypto-api-nginx
188.0.0.11   --                             9000                           crypto-api-php
188.0.0.12   --                             11211                          crypto-api-memcached
188.0.0.13   8092                           80                             gurosh-abs-nginx
188.0.0.14   --                             9000                           gurosh-abs-fpm
188.0.0.15   --                             --                             gurosh-abs-npm
188.0.0.16   --                             5432                           gurosh-abs-postgre
188.0.0.17   80                             80                             gurosh-reverse-nginx (main proxy)
188.0.0.18   8088/8098                      8088/8098/80/443               crypto-reverse-nginx (riak)
188.0.0.19   4369/6000-6005/8087/8093/8099  4369/6000-6005/8087/8093/8099  crypto-riak-node
188.0.0.20   --                             --                             dmoney-horizon
188.0.0.21   11645                          11645                          dmoney-validator
188.0.0.22   11625                          11625                          dmoney-core
188.0.0.23   11635                          11635                          dmoney-fee
188.0.0.24   5433                           5432                           dmoney-postgres
188.0.0.25   --                             6379                           dmoney-redis
188.0.0.26   --                             --                             func-test
